"","continent","year","meangdp","mingdp"
"1","Africa",1952,5992294607.61401,52784690.5494405
"2","Africa",1957,7359188796.46415,52784690.551945
"3","Africa",1962,8784876957.53471,70020507.871055
"4","Africa",1967,11443994101.0958,98028711.056691
"5","Africa",1972,15072241973.925,117419005.53013
"6","Africa",1977,18694898731.6834,150813401.580972
"7","Africa",1982,22040401044.5802,186362274.809381
"8","Africa",1987,24107264107.5813,168049218.941084
"9","Africa",1992,26256977718.6027,179898843.338554
"10","Africa",1997,30023173823.5568,194980183.449888
"11","Africa",2002,35303511424.3848,230529056.66908
"12","Africa",2007,45778570846.179,319014076.627531
"13","Americas",1952,117738997170.521,2003975797.4748
"14","Americas",1957,140817061264.463,3136390911.66
"15","Americas",1962,169153069442.098,4299460457.43322
"16","Americas",1967,217867530843.846,5260938508.92334
"17","Americas",1972,268159178813.552,6455379924.25738
"18","Americas",1977,324085389021.826,8207707919.13888
"19","Americas",1982,363314008349.519,10181762179.6148
"20","Americas",1987,439447790356.559,8802302576.06153
"21","Americas",1992,489899820623.285,8719537247.77683
"22","Americas",1997,582693307145.971,9276089515.1804
"23","Americas",2002,661248623419.405,9664493045.29473
"24","Americas",2007,776723426068.404,10217297215.9514
"25","Asia",1952,34095762653.9685,629774979.826522
"26","Asia",1957,47267432088.4912,805090717.486539
"27","Asia",1962,60136869011.9732,1067213276.68824
"28","Asia",1967,84648519223.9975,1409334278.935
"29","Asia",1972,124385747312.946,1877410277.9875
"30","Asia",1977,159802590186.469,2517397824.12
"31","Asia",1982,194429049918.946,3513123131.38445
"32","Asia",1987,241784763369.087,4711397687.66443
"33","Asia",1992,307100497485.716,4129281353.40883
"34","Asia",1997,387597655322.552,4745744245.8363
"35","Asia",2002,458042336178.88,5724837882.70358
"36","Asia",2007,627513635079.238,8897642669.93242
"37","Europe",1952,84971341465.9787,1075341715.18374
"38","Europe",1957,109989505140.249,1526277073.13532
"39","Europe",1962,138984693095.244,1884277507.35018
"40","Europe",1967,173366641136.877,2646343594.11968
"41","Europe",1972,218691462733.244,3306139764.0755
"42","Europe",1977,255367522033.802,4359922739.98281
"43","Europe",1982,279484077071.808,5445018346.1775
"44","Europe",1987,316507473545.746,6587462419.76528
"45","Europe",1992,342703247405.232,4353422615.51898
"46","Europe",1997,383606933832.974,4478413551.7982
"47","Europe",2002,436448815096.644,4722688037.72486
"48","Europe",2007,493183311051.833,6336475807.4617
"49","Oceania",1952,54157223944.3149,21058193787.114
"50","Oceania",1957,66826828013.436,27304428858.1752
"51","Oceania",1962,82336453244.6702,32788333486.9
"52","Oceania",1967,105958863585.294,39459740428.8795
"53","Oceania",1972,134112109227.404,47000447796.848
"54","Oceania",1977,154707711162.111,51378093148.73
"55","Oceania",1982,176177151380.068,56611498450.76
"56","Oceania",1987,209451563998.381,63050008702.6841
"57","Oceania",1992,236319179826.106,63127124699.7896
"58","Oceania",1997,289304255183.266,77385257445.895
"59","Oceania",2002,345236880176.388,90626601698.45
"60","Oceania",2007,403657044511.652,103655730129.674
